word_us,word_length,n_phon,nonword,n_phon_nw,
bathe,5,3,jathe,3,
bathhouse,9,6,barehound,7,
bathroom,8,6,buthreem,6,
baths,5,4,barls,5,
bathtub,7,6,bametib,6,
batman,6,6,burmen,6,
baton,5,5,butin,5,
batter,6,5,bapper,5,
battery,7,6,battemy,6,
batting,7,5,bapping,5,
battle,6,4,bannle,5,
bay,3,2,beom,4,
bayonet,7,6,bayinot,6,
bazaar,6,5,bizear,6,
bazooka,7,6,bamooko,6,
beach,5,3,beoch,4,
bead,4,3,zeed,3,
beak,4,3,biek,4,
beaker,6,5,beeser,5,
beam,4,3,boam,3,
bean,4,3,binth,4,
beanie,6,4,beetie,4,
beans,5,4,beash,3,
bear,4,3,bude,4,
beard,5,4,brum,4,
bearing,7,5,boodint,6,
bearskin,8,7,beadspin,7,
beast,5,4,boust,4,
beat,4,3,bood,3,
beaten,6,4,bouren,5,
beau,4,2,beao,3,
beautician,10,8,beautocain,8,
beautiful,9,8,beautofal,8,
beautify,8,7,beautopy,7,
beauty,6,5,bealry,6,
beaver,6,5,benvor,6,
because,7,5,bicaves,6,
beckon,6,5,bashon,5,
become,6,5,bicone,5,
becoming,8,7,becamive,7,
bed,3,3,brom,4,
bedridden,9,7,bedrippen,8,
bedroom,7,6,belroon,6,
bee,3,2,bui,3,
beef,4,3,bros,4,
beehive,7,5,bethike,6,
beer,4,3,boig,3,
beeswax,7,7,boarwad,6,
beetle,6,4,boeple,5,
beets,5,4,zoots,4,
beforehand,10,9,befarehind,9,
befriend,8,7,bifriews,7,
beg,3,3,beb,3,
beggar,6,5,beffar,5,
begin,5,5,bigun,5,
beginning,9,7,begiffing,7,
begone,6,5,bigine,5,
behalf,6,5,biharp,6,
behave,6,5,bigave,5,
behavior,8,8,behivion,8,
behead,6,5,biheal,5,
behold,6,6,bihord,6,
beige,5,3,beize,3,
being,5,4,buing,5,
belch,5,4,boolch,4,
Belgian,7,6,Bergone,6,
belief,6,5,biloof,5,
believe,7,5,birieve,5,
bell,4,3,bews,4,
bellboy,7,5,bullpoy,5,
bellhop,7,6,bullhip,6,
bellow,6,4,beffow,4,
belly,5,4,bemmy,4,
belong,6,5,bilone,5,
belt,4,4,beft,4,
bench,5,4,benth,4,
bend,4,4,beot,4,
beneath,7,5,bineald,6,
benediction,11,10,benedimtive,10,
benefactor,10,10,beneficnor,10,
beneficial,10,9,benefanial,10,
benefit,7,7,benofat,7,
benign,6,5,binait,5,
bent,4,4,bert,4,
benzene,7,6,banzune,6,
berry,5,4,bezzy,4,
berserk,7,7,bensark,7,
berth,5,4,belms,5,
best,4,4,bewng,4,
bet,3,3,bep,3,
better,6,5,besser,5,
between,7,6,bitweep,6,
beverage,8,7,bevorade,7,
bewilder,8,8,bewalden,8,
beyond,6,5,biyand,6,
biannual,8,8,bialluan,7,
